"   ","REFORMAT_JOB","UPDATE_JOB","PART_SUPPLIER_NUMBER","PART_SUPPLIER_COUNTRY_ABBR","PART_SUPPLIER_ABBR","JOB_PARM","FORMAT_PART_SUPPLIER_NUMBER","FORMAT_COUNTRY_ABBR","REVERSE_SUPER_JOB_PARM","PACKAGE_NAME_1","PACKAGE_NAME_2","PRICE_FACTOR","JOB_STATUS_INDICATOR","JOB_STEP_DESCRIPTION","REFORMAT_SHELL_NAME","REFORMAT_JOB_START_DATE","REFORMAT_JOB_END_DATE","UPDATE_SHELL_NAME","UPDATE_JOB_START_DATE","UPDATE_JOB_END_DATE","LAST_UPDATE_DATE","LAST_UPDATE_USER","PRICE_DECIMAL_COUNT","PRICE_ZERO_OK_FLAG","DUPLICATE_PARTS_EXPECTED_FLAG","REFORMAT_BUILDS_RTRANS_FLAG","OBSOLETE_JOB_FLAG","PREPROCESS_SCRIPT_NAME","VALIDATE_SUPERSESSIONS_FLAG","SOURCE_FILE_FREQUENCY","SOURCE_FILE_STATUS","REVERSE_SUPER_OLD_PRICE_IND","REVERSE_SUPER_OLD_SUPER_IND","REVERSE_SUPER_NEW_PRICE_IND","REVERSE_SUPER_BOTH_PRICE_IND","REVERSE_SUPER_NO_PRICE_IND","REVERSE_SUPER_RUN_IND","EFFECTIVE_DATE","REPLACEMENT_RUN_FLAG","RUN_TYPE_INDICATOR","NAGS_TYPE","LOOKUP_FORMAT_FLAG","HIST_SUPER_RECEIVED_FLAG","ASSEMBLY_SUPPLIED_FLAG","COMPONENT_SUPPLIED_FLAG","SUPER_SUPPLIED_FLAG","DISC_SUPPLIED_FLAG","PRICE_SUPPLIED_FLAG","ASSEMBLY_GENERATED_FLAG","ASSEMBLY_PROCESSED_FLAG","ASSEMBLY_NOTES","COMPONENT_GENERATED_FLAG","COMPONENT_PROCESSED_FLAG","COMPONENT_NOTES","SUPER_GENERATED_FLAG","SUPER_PROCESSED_FLAG","SUPER_NOTES","DISC_GENERATED_FLAG","DISC_PROCESSED_FLAG","DISC_NOTES","PRICE_GENERATED_FLAG","PRICE_PROCESSED_FLAG","PRICE_NOTES","DATA_SUPPLIED_BY","EFFECTIVE_DATE_SOURCE_NOTES","FILE_EXPECTED_DELIVERY_NOTES","ORIGINAL_FILE_DELIVERY","FILE_NOTIFICATION_NOTES","AB_REFORMAT_JOB_PATH","AB_UPDATE_JOB_PATH","EFFECTIVE_DATE_PATTERN","IS_ACTIVE_FROM_AUTOMATION_FLAG","PREPROCESSOR_JOB","REFORMAT_JOB_ITERATIONS","UPDATE_JOB_ITERATIONS","AB_PREPROCESSOR_JOB_PATH"
"1","mptr490","mptr491","043","CA","SUB","zmpt491a","043","US","mpt491e","pkg_oem_ref_037","","0","C","mptr491  Supersession Validation Complete","mptr490.ksh","2/16/2026 7:48:32 AM","2/16/2026 8:05:58 AM","mptr491.ksh","2/16/2026 8:33:38 AM","2/16/2026 8:45:01 AM","2/16/2026 8:45:01 AM","RACEJOB","2","Y","N","N","N","","N","6","","R","R","B","D","B","U","2/16/2026","N","O","N/A","N","N","Y","N","Y","Y","Y","Y","Y","","N","N","","N","Y","","N","Y","","N","Y","","Subaru Canada, Inc.","unknown","","EMAIL ATTACHMENT","Email notifications w/zip attachment and piz attachment.  Use zip attachment.  ","/RDO/Jobs/Production/Race/OEM_Reformats_Updates/OEM_CANADA_SUBARU_reformatAndUpdate/oem_canada_subaru_reformat_mptr490","/RDO/Jobs/Production/Race/OEM_Reformats_Updates/OEM_CANADA_SUBARU_reformatAndUpdate/oem_canada_subaru_update_mptr491","1st of next month","Y","","10","10",""
"2","pptr010","pptr011","058","PR","ACU","zppt011a","058","US","","pkg_oem_ref_012","","0","C","pptr011  Supersession Validation Complete","pptr010.ksh","3/7/2024 7:39:03 AM","3/7/2024 7:42:41 AM","pptr011.ksh","3/8/2024 1:28:22 AM","3/8/2024 1:29:26 AM","9/16/2025 11:58:55 PM","RACE","2","N","Y","N","N","","N","1","","","","","","","","3/7/2024","N","O","N/A     ","Y","N","N","N","N","N","Y","N","N","","N","N","","N","N","","N","N","","N","Y","","ABC Infotech ","date of file arrival","week of PR extract","MITCHELL FTP SERVER","Separate email notification for each PR OEM file, and file delivery noted in RACEDataOps FTP Report.","/RDO/Jobs/Production/Race/OEM_Reformats_Updates_PuertoRico/OEM_PR_ACURA_reformatAndUpdate/oem_pr_acura_reformat_pptr010","/RDO/Jobs/Production/Race/OEM_Reformats_Updates_PuertoRico/OEM_PR_ACURA_reformatAndUpdate/oem_pr_acura_update_pptr011","date of file arrival","Y","","10","10",""
"3","pptr040","pptr041","083","PR","DAE","","083","PR","","OBSOLETE","","0","","","pptr040.ksh","","","pptr041.ksh","","","9/16/2025 11:58:55 PM","RACE","2","Y","N","N","Y","","N","999","","","","","","","","","N","O","N/A","N","N","N","N","N","N","N","N","N","","N","N","","N","N","","N","N","","N","N","","","","","","","","","","","","","",""
"4","pptr075","pptr076","056","PR","ISU","zppt076a","056","US","","pkg_oem_ref_012","","0","C","pptr076  Supersession Validation Complete","pptr075.ksh","3/1/2012 1:07:17 PM","3/1/2012 1:08:29 PM","pptr076.ksh","3/2/2012 2:58:52 AM","3/2/2012 3:00:06 AM","9/16/2025 11:58:55 PM","RACE","2","N","Y","N","Y","","N","2","","","","","","","","3/1/2012","N","O","N/A","N","N","N","N","N","N","Y","N","N","","N","N","","N","N","","N","N","","N","Y","","ABC Infotech ","date of file arrival","week of PR extract","MITCHELL FTP SERVER","Separate email notification for each PR OEM file, and file delivery noted in RACEDataOps FTP Report.","/RDO/Jobs/Production/Race/OEM_Reformats_Updates_PuertoRico/OEM_PR_ISUZU_reformatAndUpdate/oem_pr_isuzu_reformat_pptr075","/RDO/Jobs/Production/Race/OEM_Reformats_Updates_PuertoRico/OEM_PR_ISUZU_reformatAndUpdate/oem_pr_isuzu_update_pptr076","date of file arrival","Y","","10","10",""
"5","pptr140","pptr141","059","PR","SUZ","zppt141a","059","US","","pkg_oem_ref_012","","0","C","pptr141  Supersession Validation Complete","pptr140.ksh","6/12/2023 5:39:24 AM","6/12/2023 5:40:30 AM","pptr141.ksh","6/13/2023 12:19:22 AM","6/13/2023 12:20:11 AM","9/16/2025 11:58:55 PM","RACE","0","N","N","N","N","","N","1","","","","","","","","6/8/2023","N","O","N/A     ","N","N","N","N","N","N","Y","N","N","","N","N","","N","N","","N","N","","N","Y","","ABC Infotech ","date of file arrival","week of PR extract","MITCHELL FTP SERVER","Separate email notification for each PR OEM file, and file delivery noted in RACEDataOps FTP Report.","/RDO/Jobs/Production/Race/OEM_Reformats_Updates_PuertoRico/OEM_PR_SUZUKI_reformatAndUpdate/oem_pr_suzuki_reformat_pptr140","/RDO/Jobs/Production/Race/OEM_Reformats_Updates_PuertoRico/OEM_PR_SUZUKI_reformatAndUpdate/oem_pr_suzuki_update_pptr141","date of file arrival","Y","","10","10",""
"6","vptr035","vptr036","030","VE","NIS","","030","VE","","OBSOLETE","","1","","","vptr035.ksh","","","vptr036.ksh","","","9/16/2025 11:58:55 PM","RACE","2","Y","N","N","Y","","N","999","","","","","","","","","N","O","N/A","N","N","N","N","N","N","N","N","N","","N","N","","N","N","","N","N","","N","N","","","","","","","","","","","","","",""
"7","vptr050","vptr051","001","VE","GMC","zvpt051a","001","US","","OBSOLETE","","2.1","V","Step999R Validate Supersessions Job Complete","vptr050.ksh","","","vptr051.ksh","9/11/2007 1:16:32 PM","","9/16/2025 11:58:55 PM","RACE","2","Y","N","Y","Y","","N","999","","","","","","","","","N","O","N/A","N","N","N","N","N","N","N","N","N","","N","N","","N","N","","N","N","","N","N","","","","","","","","","","","","","",""
"8","vptr175","vptr176","079","VE","KIA","","079","VE","","OBSOLETE","","1","","","vptr175.ksh","","","vptr176.ksh","","","9/16/2025 11:58:55 PM","RACE","2","Y","N","N","Y","","N","999","","","","","","","","","N","O","N/A","N","N","N","N","N","N","N","N","N","","N","N","","N","N","","N","N","","N","N","","","","","","","","","","","","","",""
"9","lptr155","lptr156","046","BR","VW","zlpt156a","046","BR","","OBSOLETE","","0","","","lptr155.ksh","","","lptr156.ksh","","","9/16/2025 11:58:55 PM","RACE","2","Y","Y","Y","Y","","N","999","","","","","","","","","N","O","N/A","N","N","N","N","N","N","N","N","N","","N","N","","N","N","","N","N","","N","N","","","","","","","","","","","","","",""
"10","mptr050","mptr051","001","US","GMC","zmpt051a","001","US","","pkg_oem_ref_005_price","pkg_oem_ref_005_super","0","P","Step999R Reformat Job Complete","mptr050.ksh","10/31/2024 4:49:55 PM","10/31/2024 4:50:08 PM","mptr051.ksh","2/22/2024 5:28:05 AM","2/22/2024 5:47:11 AM","9/16/2025 11:58:55 PM","RACE","2","Y","Y","Y","N","","N","1","","","","","","","","10/1/2024","N","O","N/A     ","N","N","Y","N","Y","Y","Y","Y","Y","","N","N","","N","Y","","N","Y","","N","Y","","General Motors Corporation","1st of next month","13th - 16th","EXTERNAL FTP SERVER","No notification from OEM. Login to Sterling (their site Part Pricing) to double-check new files are available.","/RDO/Jobs/Production/Race/OEM_Reformats_Updates/OEM_US_GMC_reformatAndUpdate/oem_us_gmc_reformat_mptr050","/RDO/Jobs/Production/Race/OEM_Reformats_Updates/OEM_US_GMC_reformatAndUpdate/oem_us_gmc_update_mptr051","1st of next month","Y","","10","10",""
"11","vptr155","vptr156","046","VE","VW","zvpt156a","046","US","","OBSOLETE","","1","C","vptr156  Supersession Validation Complete","vptr155.ksh","4/3/2007 2:36:44 PM","4/3/2007 2:59:21 PM","vptr156.ksh","4/3/2007 7:25:20 PM","4/3/2007 7:38:33 PM","9/16/2025 11:58:55 PM","RACE","0","Y","Y","N","Y","","N","999","","","","","","","","","N","O","N/A","N","N","N","N","N","N","N","N","N","","N","N","","N","N","","N","N","","N","N","","","","","","","","","","","","","",""
"12","mptr460","mptr461","232","CA","HON","zmpt461a","032","US","mpt461e","pkg_oem_ref_011","","0","C","mptr461  Supersession Validation Complete","mptr460.ksh","3/15/2024 7:44:09 AM","3/15/2024 7:51:02 AM","mptr461.ksh","3/16/2024 12:48:23 AM","3/16/2024 12:54:42 AM","9/16/2025 11:58:55 PM","RACE","2","Y","N","N","N","","N","1","","R","R","B","D","B","U","4/1/2024","N","O","N/A     ","Y","Y","N","N","Y","Y","Y","N","N","","N","N","","N","Y","","N","Y","","N","Y","","Honda Canada Inc.","1st of next month","2nd week of month (around 11th)","OEM WEBSITE","No notification","/RDO/Jobs/Production/Race/OEM_Reformats_Updates/OEM_CANADA_HONDA_MOTORCYCLE_reformatAndUpdate/oem_canada_honda_motorcycle_reformat_mptr460","/RDO/Jobs/Production/Race/OEM_Reformats_Updates/OEM_CANADA_HONDA_MOTORCYCLE_reformatAndUpdate/oem_canada_honda_motorcycle_update_mptr461","1st of next month","Y","","10","10",""
"13","mptr400","mptr401","058","CA","ACU","zmpt401a","058","US","mpt401e","pkg_oem_ref_011","","0","C","mptr401  Supersession Validation Complete","mptr400.ksh","3/15/2024 7:17:23 AM","3/15/2024 7:23:49 AM","mptr401.ksh","3/16/2024 12:34:22 AM","3/16/2024 12:39:36 AM","9/16/2025 11:58:55 PM","RACE","2","Y","N","N","N","","N","1","","R","R","B","D","B","U","4/1/2024","N","O","N/A     ","Y","Y","N","N","Y","Y","Y","N","N","","N","N","","N","Y","","N","Y","","N","Y","","Honda Canada Inc.","1st of next month","2nd week of month (around 11th)","OEM WEBSITE","No notification","/RDO/Jobs/Production/Race/OEM_Reformats_Updates/OEM_CANADA_ACURA_reformatAndUpdate/oem_canada_acura_reformat_mptr400","/RDO/Jobs/Production/Race/OEM_Reformats_Updates/OEM_CANADA_ACURA_reformatAndUpdate/oem_canada_acura_update_mptr401","1st of next month","Y","","10","10",""
"14","pptr080","pptr081","065","PR","LEX","zppt081a","044","US","","pkg_oem_ref_007","","0","C","pptr081  Supersession Validation Complete","pptr080.ksh","3/12/2024 9:49:54 AM","3/12/2024 9:53:55 AM","pptr081.ksh","3/13/2024 1:21:54 AM","3/13/2024 1:25:40 AM","9/16/2025 11:58:55 PM","RACE","2","N","Y","N","N","","N","1","","","","","","","","3/12/2024","N","O","N/A     ","N","N","N","N","N","N","Y","N","N","","N","N","","N","N","","N","N","","N","Y","","ABC Infotech ","date of file arrival","week of PR extract","MITCHELL FTP SERVER","Separate email notification for each PR OEM file, and file delivery noted in RACEDataOps FTP Report.","/RDO/Jobs/Production/Race/OEM_Reformats_Updates_PuertoRico/OEM_PR_LEXUS_reformatAndUpdate/oem_pr_lexus_reformat_pptr080","/RDO/Jobs/Production/Race/OEM_Reformats_Updates_PuertoRico/OEM_PR_LEXUS_reformatAndUpdate/oem_pr_lexus_update_pptr081","date of file arrival","Y","","10","10",""
"15","pptr060","pptr061","032","PR","HON","zppt061a","032","US","","pkg_oem_ref_012","","0","C","pptr061  Supersession Validation Complete","pptr060.ksh","3/7/2024 8:05:10 AM","3/7/2024 8:10:01 AM","pptr061.ksh","3/8/2024 1:41:07 AM","3/8/2024 1:43:07 AM","9/16/2025 11:58:55 PM","RACE","2","N","Y","N","N","","N","1","","","","","","","","3/7/2024","N","O","N/A     ","Y","N","N","N","N","N","Y","N","N","","N","N","","N","N","","N","N","","N","Y","","ABC Infotech ","date of file arrival","week of PR extract","MITCHELL FTP SERVER","Separate email notification for each PR OEM file, and file delivery noted in RACEDataOps FTP Report.","/RDO/Jobs/Production/Race/OEM_Reformats_Updates_PuertoRico/OEM_PR_HONDA_reformatAndUpdate/oem_pr_honda_reformat_pptr060","/RDO/Jobs/Production/Race/OEM_Reformats_Updates_PuertoRico/OEM_PR_HONDA_reformatAndUpdate/oem_pr_honda_update_pptr061","date of file arrival","Y","","10","10",""
"16","pptr145","pptr146","044","PR","TOY","zppt146a","044","US","","pkg_oem_ref_007","","0","C","pptr146  Supersession Validation Complete","pptr145.ksh","3/12/2024 10:03:34 AM","3/12/2024 10:11:00 AM","pptr146.ksh","3/13/2024 1:29:36 AM","3/13/2024 1:36:55 AM","9/16/2025 11:58:55 PM","RACE","2","N","Y","N","N","","N","2","","","","","","","","3/12/2024","N","O","N/A     ","N","N","N","N","N","N","Y","N","N","","N","N","","N","N","","N","N","","N","Y","","ABC Infotech ","date of file arrival","week of PR extract","MITCHELL FTP SERVER","Separate email notification for each PR OEM file, and file delivery noted in RACEDataOps FTP Report.","/RDO/Jobs/Production/Race/OEM_Reformats_Updates_PuertoRico/OEM_PR_TOYOTA_reformatAndUpdate/oem_pr_toyota_reformat_pptr145","/RDO/Jobs/Production/Race/OEM_Reformats_Updates_PuertoRico/OEM_PR_TOYOTA_reformatAndUpdate/oem_pr_toyota_update_pptr146","date of file arrival","Y","","10","10",""
"17","xptr145","xptr146","044","MX","TOY","zxpt146a","044","US","xpt146e","pkg_oem_ref_007","","21.1473","A","Step280R pkg_oem_ref_actrans_preprocess","xptr145.ksh","6/24/2024 3:27:42 PM","6/24/2024 3:33:20 PM","xptr146.ksh","3/20/2024 1:02:35 AM","3/20/2024 1:11:37 AM","9/16/2025 11:58:55 PM","RACE","2","Y","N","N","N","","N","1","","R","R","B","D","B","U","6/18/2024","N","O","N/A     ","N","Y","Y","Y","Y","N","Y","N","Y","","N","Y","","N","Y","","N","N","","N","Y","","U.S. Toyota Motor Distributors, Inc.","1st of next month","12th-17th","MITCHELL FTP SERVER","Email notification from Andrew.","/RDO/Jobs/Production/Race/OEM_Reformats_Updates/OEM_US_MEXICO_TOYOTA_US_LEXUS_reformatsAndUpdates/OEM_US_MEXICO_TOYOTA_US_LEXUS_reformats_suite/step2_oem_mexico_toyota_reformat_xptr145","/RDO/Jobs/Production/Race/OEM_Reformats_Updates/OEM_US_MEXICO_TOYOTA_US_LEXUS_reformatsAndUpdates/OEM_US_MEXICO_TOYOTA_US_LEXUS_Updates_suite/step2_oem_mexico_toyota_update_xptr146","1st of next month","Y","","10","10",""
"18","xptr050","xptr051","001","MX","GMC","zxpt051a","001","US","xpt051e","OBSOLETE","","0","V","Step999R Validate Supersessions Job Complete","xptr050.ksh","11/1/2007 2:42:27 PM","11/1/2007 2:51:20 PM","xptr051.ksh","12/11/2007 3:49:29 PM","","9/16/2025 11:58:55 PM","RACE","0","Y","Y","N","Y","","N","6","","R","R","B","D","B","U","","N","O","N/A","N","N","N","N","N","N","N","N","N","","N","N","","N","N","","N","N","","N","N","","","","","","","","","","","","","",""
"19","mptr250","mptr251","250","US","HDM","zmpt251a","250","US","mpt251e","pkg_oem_ref_008","","0","C","mptr251  Supersession Validation Complete","mptr250.ksh","8/12/2026 8:41:57 AM","8/12/2026 8:44:03 AM","mptr251.ksh","8/12/2026 9:31:13 AM","8/12/2026 9:41:18 AM","8/12/2026 9:41:18 AM","RACEJOB","0","Y","N","N","N","","N","1","","R","R","B","D","B","U","8/10/2026","N","O","N/A     ","N","Y","N","N","Y","Y","Y","N","N","","N","N","","N","Y","","N","Y","","N","Y","","Harley Davidson","Noted in Email","2nd - 7th","EMAIL ATTACHMENT","Email with zip attachment and effective date. Zip file contains US file.","/RDO/Jobs/Production/Race/OEM_Reformats_Updates/OEM_US_HARLEY_MOTORCYCLE_reformatAndUpdate/oem_us_harley_motorcycle_reformat_mptr250","/RDO/Jobs/Production/Race/OEM_Reformats_Updates/OEM_US_HARLEY_MOTORCYCLE_reformatAndUpdate/oem_us_harley_motorcycle_update_mptr251","Noted in Email","Y","","10","10",""
"20","lptr160","lptr161","039","BR","PEU","zlpt161a","039","BR","","OBSOLETE","","0","","","lptr160.ksh","","","lptr161.ksh","","","9/16/2025 11:58:55 PM","RACE","2","Y","N","Y","Y","","N","999","","","","","","","","","N","O","N/A","N","N","N","N","N","N","N","N","N","","N","N","","N","N","","N","N","","N","N","","","","","","","","","","","","","",""
"21","mptr425","mptr426","002","CA","FOR","zmpt426a","002","US","mpt426e","pkg_oem_ref_010","","0","C","mptr426  Supersession Validation Complete","mptr425.ksh","3/8/2024 6:42:20 AM","3/8/2024 6:53:25 AM","mptr426.ksh","3/9/2024 12:37:02 AM","3/9/2024 12:55:21 AM","9/16/2025 11:58:55 PM","RACE","2","Y","Y","N","N","","N","1","","R","R","B","D","B","U","3/1/2024","N","O","ALL PRTS","N","N","Y","Y","Y","Y","Y","N","Y","SUPER_STATUS = 1 or 3; OSI = 3 or 4.","N","N","Per OEM, SUPER_STATUS = 1 or 3; OSI = 2. None received yet.","N","Y","SUPER_STATUS = 1, 3, or 9. OSI = 1. Supersessions and discontinue records will stay on the file for 2 years.","N","Y","NEW_PART_NUMBER is null. (OSI = 5).","N","Y","","Ford Motor Company of Canada, Ltd.","1st Friday of Month","6th - 9th","MITCHELL FTP SERVER","Schedule the reformat when RACEDataOps FTP Report shows current CANCOMPRICE*.ZIP file -AND- a CANOBS*.ZIP file having same date. (CANOBS* files are placed on our server several times per month; whereas CANCOMPPRICE is placed once. This is usually followed up by an email but not always; therefore FTP Report indicating presence of both files seems to be most reliable.)","/RDO/Jobs/Production/Race/OEM_Reformats_Updates/OEM_CANADA_FORD_MONTHLY_reformatAndUpdate/oem_canada_ford_mthly_reformat_mptr425","/RDO/Jobs/Production/Race/OEM_Reformats_Updates/OEM_CANADA_FORD_MONTHLY_reformatAndUpdate/oem_canada_ford_mthly_update_ mptr426","date of file arrival","Y","","10","10",""
"22","xptr045","xptr046","002","MX","FOR","zxpt046a","002","US","","OBSOLETE","","0","C","xptr046  Supersession Validation Complete","xptr045.ksh","2/15/2007 12:04:20 PM","2/15/2007 12:45:27 PM","xptr046.ksh","2/15/2007 7:21:01 PM","2/15/2007 8:12:29 PM","9/16/2025 11:58:55 PM","RACE","2","Y","Y","N","Y","","N","999","","","","","","","","","N","O","N/A","N","N","N","N","N","N","N","N","N","","N","N","","N","N","","N","N","","N","N","","","","","","","","","","","","","",""
"23","mptr085","mptr086","035","US","MAZ","zmpt086a","035","US","mpt086e","pkg_oem_ref_025","","0","C","mptr086  Supersession Validation Complete","mptr085.ksh","3/27/2024 5:53:16 AM","3/27/2024 5:53:39 AM","mptr086.ksh","3/28/2024 1:36:23 AM","3/28/2024 1:42:24 AM","9/16/2025 11:58:55 PM","RACE","2","Y","Y","N","N","","N","1","","R","R","B","D","B","U","4/1/2024","N","O","N/A     ","N","Y","Y","N","Y","N","Y","N","Y","A-trans is created instead of N-trans when color code suffix of old part does not match color code suffix of new part AND new parts suffix is associated with special application of paint.","N","N","","N","Y","There is special coding in reformat associated to parts having a length of 12 and their suffixes represent paint color codes. See reformat program.","N","N","","N","Y","","Mazda Motor of America, Inc.","1st Monday of the next month","20th - 24th","MITCHELL FTP SERVER","Email notification from priceinquiry@mazdausa.com sent to production.control.oem when ready to dowload from their FTP server and run.  Email has effective date (First Monday of the next month).","/RDO/Jobs/Development/RACE/OEM_Reformats_Updates/OEM_US_MAZDA_reformatAndUpdate/oem_us_mazda_reformat_mptr085","/RDO/Jobs/Development/RACE/OEM_Reformats_Updates/OEM_US_MAZDA_reformatAndUpdate/oem_us_mazda_update_mptr086","1st of next month","Y","","10","10",""
